"","requete_liste"
"47","AU-ID(7103232291) OR AU-ID(7103233446) OR AU-ID(7103235597) OR AU-ID(7103239481) OR AU-ID(7103324485)"
"48","AU-ID(7103335386) OR AU-ID(7103337331) OR AU-ID(7103356970) OR AU-ID(7103360173) OR AU-ID(7103371645)"
"49","AU-ID(7103378280) OR AU-ID(7103397697) OR AU-ID(7201860607) OR AU-ID(7201899434) OR AU-ID(7201906098)"
"50","AU-ID(7201914639) OR AU-ID(7201918373) OR AU-ID(7201928968) OR AU-ID(7201967635) OR AU-ID(7201977018)"
"51","AU-ID(7202049406) OR AU-ID(7202064593) OR AU-ID(7202068919) OR AU-ID(7202072287) OR AU-ID(7202076842)"
"52","AU-ID(7202083531) OR AU-ID(7202117110) OR AU-ID(7202119828) OR AU-ID(7202120308) OR AU-ID(7202130244)"
"53","AU-ID(7202146648) OR AU-ID(7202156482) OR AU-ID(7202184619) OR AU-ID(7202199752) OR AU-ID(7202220294)"
"54","AU-ID(7202233984) OR AU-ID(7202250860) OR AU-ID(7202524627) OR AU-ID(7202537984) OR AU-ID(7202542994)"
"55","AU-ID(7202593405) OR AU-ID(7202615995) OR AU-ID(7202630350) OR AU-ID(7202635113) OR AU-ID(7202638282)"
"56","AU-ID(7403639625) OR AU-ID(7403675912) OR AU-ID(7403700399) OR AU-ID(7403704693) OR AU-ID(7403726567)"
"57","AU-ID(7403895559) OR AU-ID(7403912299) OR AU-ID(7403934230) OR AU-ID(7403936750) OR AU-ID(57202559302)"
"58","AU-ID(57202565005) OR AU-ID(57202566978) OR AU-ID(57202568320) OR AU-ID(57202573402) OR AU-ID(57202576862)"
"59","AU-ID(57202594676) OR AU-ID(57202615369) OR AU-ID(26323113200) OR AU-ID(26323145500) OR AU-ID(26323522500)"
"60","AU-ID(26324658000) OR AU-ID(26325227400) OR AU-ID(26327096900) OR AU-ID(26423988000) OR AU-ID(26424675100)"
"61","AU-ID(34067894400) OR AU-ID(34569127200) OR AU-ID(34570618600) OR AU-ID(34571222900) OR AU-ID(34572443100)"
"62","AU-ID(34768650200) OR AU-ID(34768876100) OR AU-ID(34769762800) OR AU-ID(34770297300) OR AU-ID(35374495300)"
"63","AU-ID(35375440100) OR AU-ID(35377819800) OR AU-ID(35387858900) OR AU-ID(35389155100) OR AU-ID(35389845200)"
"64","AU-ID(35393129700) OR AU-ID(35393992100) OR AU-ID(35395664900) OR AU-ID(35395818900) OR AU-ID(35399054300)"
"65","AU-ID(35399941100) OR AU-ID(35401476000) OR AU-ID(35405352400) OR AU-ID(35405893700) OR AU-ID(35409231500)"
"66","AU-ID(35428525600) OR AU-ID(35432915800) OR AU-ID(35432998500) OR AU-ID(35434455300) OR AU-ID(35445867700)"
"67","AU-ID(35448171500) OR AU-ID(35449300200) OR AU-ID(35449319500) OR AU-ID(35449543100) OR AU-ID(35450387800)"
"68","AU-ID(35458606800) OR AU-ID(35461198600) OR AU-ID(35467750200) OR AU-ID(35467774400) OR AU-ID(35468245000)"
"69","AU-ID(35473591700) OR AU-ID(35476357900) OR AU-ID(35590038500) OR AU-ID(35591803300) OR AU-ID(35597206400)"
"70","AU-ID(35597368000) OR AU-ID(35600532400) OR AU-ID(35600960600) OR AU-ID(35602445700) OR AU-ID(35603945300)"
"71","AU-ID(36048808600) OR AU-ID(36051435500) OR AU-ID(36051761900) OR AU-ID(36052550700) OR AU-ID(36055104600)"
"72","AU-ID(36059771900) OR AU-ID(36060136500) OR AU-ID(36063110800) OR AU-ID(36068534200) OR AU-ID(36862201600)"
"73","AU-ID(36864409600) OR AU-ID(36865721000) OR AU-ID(36865979800) OR AU-ID(36866492000) OR AU-ID(36874816800)"
