"","req_tot","repartition_requetes","done","problematic"
"23","AU-ID(15059805200) OR AU-ID(15061730400) OR AU-ID(15062121800) OR AU-ID(15062292400) OR AU-ID(15062650300) OR AU-ID(15063430200) OR AU-ID(15063941600) OR AU-ID(15064352800) OR AU-ID(15065026100) OR AU-ID(15066362600)","Mathis2",0,0
"24","AU-ID(15072144400) OR AU-ID(15077817700) OR AU-ID(15119964300) OR AU-ID(15122343900) OR AU-ID(15123524600) OR AU-ID(15124998500) OR AU-ID(15126602900) OR AU-ID(15126691800) OR AU-ID(15127283800) OR AU-ID(15127688600)","Mathis2",0,0
"25","AU-ID(15132140800) OR AU-ID(15134989500) OR AU-ID(15135829500) OR AU-ID(15136988700) OR AU-ID(15137270000) OR AU-ID(15137683800) OR AU-ID(15518936100) OR AU-ID(15519052000) OR AU-ID(15519650400) OR AU-ID(15519939700)","Mathis2",0,0
"26","AU-ID(15722521700) OR AU-ID(15724417500) OR AU-ID(15725193900) OR AU-ID(15726182200) OR AU-ID(15731519100) OR AU-ID(15734883000) OR AU-ID(15745984700) OR AU-ID(15751550300) OR AU-ID(15751930200) OR AU-ID(15754395900)","Mathis2",0,0
"27","AU-ID(15755676200) OR AU-ID(15755843100) OR AU-ID(15756008600) OR AU-ID(15757402700) OR AU-ID(15757843700) OR AU-ID(15758296300) OR AU-ID(15759442300) OR AU-ID(15759665700) OR AU-ID(15760747800) OR AU-ID(15761421600)","Mathis2",0,0
"28","AU-ID(15762200600) OR AU-ID(15763746300) OR AU-ID(15765842800) OR AU-ID(15766219800) OR AU-ID(15768712900) OR AU-ID(15769963800) OR AU-ID(15820719800) OR AU-ID(15823162100) OR AU-ID(15828770700) OR AU-ID(15830441600)","Mathis2",0,0
"29","AU-ID(15831140600) OR AU-ID(15832632400) OR AU-ID(15832667500) OR AU-ID(15832723300) OR AU-ID(15832725000) OR AU-ID(15836763300) OR AU-ID(15837799600) OR AU-ID(15838075900) OR AU-ID(15839014200) OR AU-ID(15839900600)","Mathis2",0,0
"30","AU-ID(15840573400) OR AU-ID(15842833200) OR AU-ID(15842881200) OR AU-ID(15843464800) OR AU-ID(15844148400) OR AU-ID(15844289800) OR AU-ID(15844974700) OR AU-ID(15845100900) OR AU-ID(15846909600) OR AU-ID(15847730200)","Mathis2",0,0
"31","AU-ID(15925343600) OR AU-ID(15925664800) OR AU-ID(15926286000) OR AU-ID(15926365300) OR AU-ID(15926457000) OR AU-ID(15926475900) OR AU-ID(16022083500) OR AU-ID(16022544400) OR AU-ID(16022817100) OR AU-ID(16023653700)","Mathis2",0,0
"32","AU-ID(16026060400) OR AU-ID(16026602800) OR AU-ID(16027863300) OR AU-ID(16029225800) OR AU-ID(16029339300) OR AU-ID(16029506100) OR AU-ID(16029812600) OR AU-ID(16032936600) OR AU-ID(16033568600) OR AU-ID(16039099800)","Mathis2",0,0
"33","AU-ID(16041559100) OR AU-ID(16047970200) OR AU-ID(16048335800) OR AU-ID(16051941900) OR AU-ID(16053430700) OR AU-ID(16066532800) OR AU-ID(16070345900) OR AU-ID(16070573500) OR AU-ID(16135480400) OR AU-ID(16145645800)","Mathis2",0,0
