"","X","Id_auteur","Nb_articles_coronavirus","advances in experimental medicine and biology","virology","journal of general virology","archives of virology","avian diseases","american journal of veterinary research","veterinary microbiology","virus research","veterinary record","journal of immunology","veterinary immunology and immunopathology","journal of virological methods","journal of biological chemistry","emerging infectious diseases","vaccine","journal of clinical microbiology","lancet","proceedings of the national academy of sciences of the united states of america","biochemical and biophysical research communications","journal of infectious diseases","viruses","plos one","antiviral research","virology journal","bmj","frontiers in immunology","frontiers in public health","international journal of molecular sciences","journal of medical virology","acm international conference proceeding series","journal of clinical medicine","vaccines","scientific reports","international journal of environmental research and public health","sustainability (switzerland)","frontiers in psychology","journal of virology","premiere_annee_contribution","derniere_annee_contribution","annee_maximale_contribution","nombre_cumulee_citations_coronavirus","somme_log_citations_coronavirus","nombre_articles_ecrits_anglais","nombre_articles_ecrits_autres","nombre_articles_ecrits_anglais_ratio","nombre_articles_ecrits_autres_ratio","nombre_articles_open_access","Book Chapter","Erratum","Editorial","Article","Conference Paper","Review","Retracted","Letter","Note","Short Survey","Conference Review","Data Paper","Final","Article in Press","annee_moyenne_contribution"
"18",19,10039949600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2013,2022,NA,2.83321334405622,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.5
"40",41,10041642200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2021,2021,NA,1.6094379124341,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"59",60,10043291800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,2010,2017,NA,10.9556369667939,NA,3,0,1,0,NA,NA,NA,NA,0.666666666666667,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,2013.33333333333
"66",67,10043670100,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2005,2012,NA,9.80510265061473,NA,4,0,1,0,NA,NA,NA,NA,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007.5
"73",74,10044022200,2,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,1.79175946922805,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"99",100,10045256900,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2020,2021,NA,4.47733681447821,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.33333333333
"101",102,10045378300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,2021,2022,NA,4.0943445622221,NA,3,0,1,0,NA,NA,NA,NA,0.666666666666667,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2021.33333333333
"105",106,10045409900,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,3.13549421592915,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"106",107,10045592400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,2020,2022,NA,8.48879371689454,NA,4,0,1,0,NA,NA,NA,NA,0.75,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,2021
"112",113,10046378000,5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2019,2021,NA,11.8573658712406,NA,5,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.6
"133",134,10140087700,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2006,NA,6.54534966033442,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005.5
"139",140,10140803400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,2021,2022,NA,0.693147180559945,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"184",185,10143681000,2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1995,NA,6.95654544315157,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"212",213,10239926800,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,0.125,NA,NA,NA,0.25,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,2014,2021,NA,17.285300731092,NA,8,0,1,0,NA,NA,NA,NA,0.625,NA,0.25,NA,0.125,NA,NA,NA,NA,NA,NA,2019.375
"243",244,10244557300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,2013,2021,NA,4.38202663467388,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"257",258,10340125700,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,2016,2022,NA,5.95064255258773,NA,4,0,1,0,NA,NA,0.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"273",274,10341450100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,2021,2021,NA,2.70805020110221,NA,2,0,1,0,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2021
"293",294,10439875500,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2021,2021,NA,1.6094379124341,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"295",296,10439911000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,0.333333333333333,0.333333333333333,NA,NA,NA,2020,2021,NA,4.43081679884331,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.66666666667
"335",336,10540183200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2021,2021,NA,0.693147180559945,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"347",348,10541152800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2021,NA,3.04452243772342,NA,2,0,1,0,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2018.5
"360",361,10639551100,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588235294117647,NA,NA,NA,NA,0.235294117647059,NA,NA,NA,0.235294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470588235294118,2005,2020,NA,65.8961264014474,NA,17,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.17647058824
"371",372,10640610900,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2012,2021,NA,11.809022036023,NA,5,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.2
"376",377,10640966700,2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2016,NA,4.24849524204936,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.5
"385",386,10642190100,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2005,2012,NA,17.4197679601948,NA,4,0,1,0,NA,NA,NA,NA,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007.5
"394",395,10739204300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2021,NA,4.02535169073515,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"424",425,11138779200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,3.46573590279973,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"429",430,11139429600,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,0.333333333333333,2006,2021,NA,9.44224542895896,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011.33333333333
"461",462,11141744800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2006,2015,NA,10.2299094533038,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009.66666666667
"502",503,11241967400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2021,2021,NA,3.68887945411394,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"510",511,11339094500,5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,NA,6.95654544315157,NA,5,0,1,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,2021
"569",570,11539072400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,1.09861228866811,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.66666666667
"583",584,11540142600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2020,2020,NA,7.31986492980897,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"594",595,11541187500,16,NA,0.0625,0.125,0.125,NA,NA,0.0625,0.0625,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,0.1875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,2016,2022,NA,34.7253454430282,NA,16,0,1,0,NA,NA,NA,NA,0.9375,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,2019.5625
"606",607,11639804900,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2021,2022,NA,1.94591014905531,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"627",628,11641184200,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,0.25,2008,2020,NA,11.6544250272439,NA,4,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.25
"640",641,11739115800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,NA,6.73340189183736,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"643",644,11739401700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,0.333333333333333,NA,NA,NA,2021,2022,NA,2.484906649788,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.33333333333
"654",655,11739956200,3,NA,0.666666666666667,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2013,NA,9.8053233037489,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009.33333333333
"664",665,11839145500,2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2021,NA,2.56494935746154,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"677",678,11839905700,28,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,NA,NA,NA,NA,NA,NA,NA,0.0357142857142857,NA,0.0357142857142857,NA,NA,NA,0.0357142857142857,NA,0.0357142857142857,0.0357142857142857,0.142857142857143,0.0714285714285714,NA,NA,NA,NA,NA,0.0357142857142857,NA,NA,0.0357142857142857,0.0714285714285714,NA,NA,NA,0.214285714285714,2002,2021,NA,86.9140625811647,NA,28,0,1,0,NA,NA,NA,NA,0.928571428571429,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012.89285714286
"707",708,11939619000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2021,NA,17.4222693469457,NA,6,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.5
"749",750,12039390000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2010,NA,6.85118492749374,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009.5
"761",762,12040449700,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,NA,13.2928957136233,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"773",774,12041275600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2015,NA,9.62377364973352,NA,2,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2014.5
"779",780,12041875000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,NA,2021,2022,NA,2.30258509299405,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.33333333333
"792",793,12138820900,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2021,NA,4.91265488573605,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"810",811,12139426300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,2021,2021,NA,2.30258509299405,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"822",823,12140150600,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,3.17805383034795,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.33333333333
"834",835,12140818600,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.2,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2021,NA,13.2223028255923,NA,5,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.4
"836",837,12141037000,2,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2012,NA,6.81563999007433,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011.5
"840",841,12141201400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,2020,2022,NA,4.39444915467244,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"869",870,12142566400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2022,NA,1.94591014905531,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"903",904,12144457700,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,NA,1.38629436111989,NA,2,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"904",905,12238771300,4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,0.25,2012,2021,NA,9.09290727508409,NA,4,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.5
"906",907,12238887800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2020,2021,NA,2.39789527279837,NA,2,0,1,0,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2020.5
"929",930,12240345000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2020,2021,NA,4.18965474202643,NA,2,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.5
"935",936,12240723300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,NA,0,NA,2,0,1,0,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2021.5
"947",948,12240990400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,0.166666666666667,2013,2021,NA,10.5175915257556,NA,6,0,1,0,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2019.5
"989",990,12242712000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,2016,2020,NA,20.5118690217847,NA,7,0,1,0,NA,NA,NA,NA,0.714285714285714,NA,NA,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,2018.42857142857
"991",992,12242785800,6,NA,NA,NA,0.166666666666667,0.166666666666667,NA,NA,0.166666666666667,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,2011,2022,NA,10.7913788098886,NA,6,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.16666666667
"1001",1002,12243071300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2021,NA,7.87092959675514,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"1025",1026,12244811200,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,2021,2021,NA,2.70805020110221,NA,4,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"1142",1143,12647088400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,2021,2021,NA,1.38629436111989,NA,3,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
